Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Kulick, N.K., Cheves, S., Chaves-Cordero, C., Lopez, R., Morales, S.R., Fedigan, L.M., Jack, K.M.","57219310945; 57216827305; 57290013200; 57219410245; 57290370200; 57204298693; 7006034822","Female-committed infanticide followed by juvenile-enacted cannibalism in wild white-faced capuchins",2021,"Primates",62,"6",,1037,1043,,,10.1007/s10329-021-00949-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85116791261&partnerID=40&md5=e7276d809f5822f8dbb5ea85d6d59d71",Article,Final,"",Scopus,2-s2.0-85116791261
"Morales-Gamboa, A.","57262436100","Commentaries",2021,"Latin American Perspectives",48,"6",,25,26,,,10.1177/0094582X211041130,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85115099243&partnerID=40&md5=915b6aa2c777a4af30b7b53e1c6ab781",Note,Final,"",Scopus,2-s2.0-85115099243
"Montenegro, V.M., Delgado, M., Miranda, R.J., Domínguez, L., Vargas-Muñoz, M., Bermúdez, S.","6603226444; 57226758340; 36020179800; 57045465100; 57226744540; 23003298100","Free-living hard ticks (Ixodida: Ixodidae) from three different natural environments of Costa Rica",2021,"Ticks and Tick-borne Diseases",12,"6", 101811,,,,,10.1016/j.ttbdis.2021.101811,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85112549232&partnerID=40&md5=e693b6a2a20b0cf3b54942d0e5ad42dd",Article,Final,"",Scopus,2-s2.0-85112549232
"Atencia-Galindo, M.A., Narvaéz, J.C., Ramírez, A., Paramo, J., Aguire-Pabón, J.C.","57224928669; 57224934174; 56223612100; 17346755900; 57224919220","Genetic structure of the pink shrimp Penaeus (Farfantepenaeus) notialis (Pérez-Farfante, 1967) (Decapoda: Penaeidae) in the Colombian Caribbean",2021,"Fisheries Research",243,"", 106052,,,,1,10.1016/j.fishres.2021.106052,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85108631439&partnerID=40&md5=6de80b8b37a0e46343529e14c7f2d07f",Article,Final,"",Scopus,2-s2.0-85108631439
"Ledezma-Zamora, K., Sánchez-Gutiérrez, R., Ramírez-Leiva, A., Mena-Rivera, L.","57224110964; 57202865125; 57196740810; 57195379831","Residual nitrite in processed meat products in Costa Rica: Method validation, long-term survey and intake estimations",2021,"Food Chemistry",361,"", 130082,,,,1,10.1016/j.foodchem.2021.130082,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85106985356&partnerID=40&md5=b276997ecfa83f53c207a142ed26b752",Article,Final,"",Scopus,2-s2.0-85106985356
"Stefanoudis, P.V., Biancani, L.M., Cambronero-Solano, S., Clark, M.R., Copley, J.T., Easton, E., Elmer, F., Haddock, S.H.D., Herrera, S., Iglesias, I.S., Quattrini, A.M., Sigwart, J., Yesson, C., Glover, A.G.","55920917600; 57190427056; 57201078643; 57345791400; 54941415500; 36458206200; 56166809800; 7003746627; 35765329300; 57210832729; 8675583700; 57208156747; 8853289200; 7005624922","Moving conferences online: Lessons learned from an international virtual meeting",2021,"Proceedings of the Royal Society B: Biological Sciences",288,"1961", 20211769,,,,4,10.1098/rspb.2021.1769,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85119387727&partnerID=40&md5=01a6235160c5910d5292d7c62654d039",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85119387727
"Naranjo-Arriola, A.","57226899180","Tourist carrying capacity as a sustainability management tool for coral reefs in Caño Island Biological Reserve, Costa Rica",2021,"Ocean and Coastal Management",212,"", 105857,,,,2,10.1016/j.ocecoaman.2021.105857,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85113276756&partnerID=40&md5=ba963e325749d8bf77ef6e4126440248",Article,Final,"",Scopus,2-s2.0-85113276756
"Campos-Sanchez, R., Flores-Cruz, A., Molina-Mora, J.A., Mora, R., Rodriguez, C., Gatica-Arias, A., Guzman-Verri, C.","6504088877; 57481729000; 57194427377; 56732745500; 57192974402; 23477349100; 6602305272","Bioinformatics advances in Costa Rica: Retrospective view and perspectives | Avances de la bioinformatica en Costa Rica: Vista retrospectiva y perspectivas",2021,"Revista de Biologia Tropical",69,"4",,1204,1223,,1,10.15517/rbt.v69i4.46873,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85126025504&partnerID=40&md5=9c34670b7f93a51f8d88ec8583918412",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85126025504
"Murillo-Zamora, C.","57469539700","Management of maritime boundaries: the case of Costa Rica and Nicaragua in the Pacific | Gestión de fronteras marítimas: el caso de Costa Rica y Nicaragua en el océano Pacífico",2021,"Revista de Biologia Tropical",69,"",,S1,S14,,,10.15517/rbt.v69is2.48125,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85125380388&partnerID=40&md5=3459f1724b22f45380f3603c7eb338f4",Article,Final,"",Scopus,2-s2.0-85125380388
"Hidalgo, H.G., Alfaro, E.J., Pérez-Briceño, P.M.","7005110878; 13806152600; 57206484368","Projected Climate Changes of CMIP5 models in La Cruz, Guanacaste, Costa Rica | Cambios climáticos proyectados de modelos CMIP5 en La Cruz, Guanacaste, Costa Rica",2021,"Revista de Biologia Tropical",69,"",,S60,S73,,,10.15517/rbt.v69is2.48307,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85125340417&partnerID=40&md5=63c9c5e2512f0c6303870079d09a2c5a",Article,Final,"",Scopus,2-s2.0-85125340417
