assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
85333799,55455,Hyloscirtus colymba,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Hyloscirtus,colymba,,,,"(Dunn, 1931)",Endangered,A2ace,3.1,Decreasing,Global
85910948,85854383,Leptodactylus insularum,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,LEPTODACTYLIDAE,Leptodactylus,insularum,,,,"Barbour, 1906",Least Concern,,3.1,Stable,Global
86585436,22693178,Numenius phaeopus,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Numenius,phaeopus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
86591264,22693468,Calidris pugnax,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Calidris,pugnax,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
86614145,22693369,Calidris alba,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Calidris,alba,,,,"(Pallas, 1764)",Least Concern,,3.1,Unknown,Global
86689640,22693247,Tringa glareola,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Tringa,glareola,,,,"Linnaeus, 1758",Least Concern,,3.1,Stable,Global
87491160,87491157,Sylvilagus gabbi,ANIMALIA,CHORDATA,LAGOMORPHA,MAMMALIA,LEPORIDAE,Sylvilagus,gabbi,,,,Allen 1877 ,Least Concern,,3.1,Unknown,Global
87977327,78496268,Ecnomiohyla bailarina,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Ecnomiohyla,bailarina,,,,"Batista, Hertz, Mebert, Köhler, Lotzkat, Ponce &amp; Vesely, 2014",Near Threatened,B1ab(iii),3.1,Decreasing,Global
87994075,87994072,Eumops ferox,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,MOLOSSIDAE,Eumops,ferox,,,,"Gundlach, 1861",Least Concern,,3.1,Stable,Global
88018395,88018392,Pteronotus mesoamericanus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,MORMOOPIDAE,Pteronotus,mesoamericanus,,,,"Smith, 1972",Least Concern,,3.1,Unknown,Global
88018595,88018592,Pteronotus rubiginosus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,MORMOOPIDAE,Pteronotus,rubiginosus,,,,"(Wagner, 1843)",Least Concern,,3.1,Unknown,Global
88087516,88087507,Molossus bondae,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,MOLOSSIDAE,Molossus,bondae,,,,"J.A. Allen, 1904",Least Concern,,3.1,Stable,Global
88109515,88109511,Anoura geoffroyi,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Anoura,geoffroyi,,,,"Gray, 1838",Least Concern,,3.1,Stable,Global
88110432,88110411,Carollia castanea,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Carollia,castanea,,,,"H. Allen, 1890",Least Concern,,3.1,Stable,Global
88151729,88151726,Rhogeessa bickhami,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Rhogeessa,bickhami,,,,"Baird, Marchán-Rivadeneira, Pérez &amp; Baker, 2012",Least Concern,,3.1,Stable,Global
88151987,88151984,Vampyrodes major,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Vampyrodes,major,,,,"G.M. Allen, 1908",Least Concern,,3.1,Unknown,Global
88152209,88152206,Sturnira burtonlimi,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Sturnira,burtonlimi,,,,"Velazco &amp; Patterson, 2014",Data Deficient,,3.1,Unknown,Global
88154380,88154376,Sturnira parvidens,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Sturnira,parvidens,,,,"Goldman, 1917",Least Concern,,3.1,Stable,Global
88159952,88159886,Platyrrhinus helleri,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Platyrrhinus,helleri,,,,"(Peters, 1866)",Least Concern,,3.1,Stable,Global
88177260,13560,Gardnerycteris crenulatum,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Gardnerycteris,crenulatum,,,,"É. Geoffroy, 1810",Least Concern,,3.1,Stable,Global
90068956,90068710,Lampropeltis abnorma,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Lampropeltis,abnorma,,,,"(Bocourt, 1886)",Least Concern,,3.1,Stable,Global
90229422,56799,Craugastor obesus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CRAUGASTORIDAE,Craugastor,obesus,,,,"(Barbour, 1928)",Critically Endangered,C2a(i),3.1,Unknown,Global
92758475,22678154,Nothocercus bonapartei,ANIMALIA,CHORDATA,STRUTHIONIFORMES,AVES,TINAMIDAE,Nothocercus,bonapartei,,,,"Gray, 1867",Least Concern,,3.1,Decreasing,Global
92760820,22678191,Crypturellus boucardi,ANIMALIA,CHORDATA,STRUTHIONIFORMES,AVES,TINAMIDAE,Crypturellus,boucardi,,,,"(Sclater, 1859)",Least Concern,,3.1,Decreasing,Global
92766830,22678308,Ortalis cinereiceps,ANIMALIA,CHORDATA,GALLIFORMES,AVES,CRACIDAE,Ortalis,cinereiceps,,,,"Gray, 1867",Least Concern,,3.1,Decreasing,Global
92770679,22678376,Penelope purpurascens,ANIMALIA,CHORDATA,GALLIFORMES,AVES,CRACIDAE,Penelope,purpurascens,,,,"Wagler, 1830",Least Concern,,3.1,Decreasing,Global
92820398,22679586,Dendrortyx leucophrys,ANIMALIA,CHORDATA,GALLIFORMES,AVES,ODONTOPHORIDAE,Dendrortyx,leucophrys,,,,"(Gould, 1844)",Least Concern,,3.1,Decreasing,Global
92821959,22679630,Odontophorus gujanensis,ANIMALIA,CHORDATA,GALLIFORMES,AVES,ODONTOPHORIDAE,Odontophorus,gujanensis,,,,"(Gmelin, 1789)",Near Threatened,A3c,3.1,Decreasing,Global
92822428,22679640,Odontophorus melanotis,ANIMALIA,CHORDATA,GALLIFORMES,AVES,ODONTOPHORIDAE,Odontophorus,melanotis,,,,"Salvin, 1865",Least Concern,,3.1,Decreasing,Global
92822619,22679645,Odontophorus erythrops,ANIMALIA,CHORDATA,GALLIFORMES,AVES,ODONTOPHORIDAE,Odontophorus,erythrops,,,,"Gould, 1859",Least Concern,,3.1,Decreasing,Global
92824726,22679688,Odontophorus leucolaemus,ANIMALIA,CHORDATA,GALLIFORMES,AVES,ODONTOPHORIDAE,Odontophorus,leucolaemus,,,,"Salvin, 1867",Least Concern,,3.1,Decreasing,Global
92825255,22679703,Odontophorus guttatus,ANIMALIA,CHORDATA,GALLIFORMES,AVES,ODONTOPHORIDAE,Odontophorus,guttatus,,,,"(Gould, 1838)",Least Concern,,3.1,Decreasing,Global
92825993,22679720,Rhynchortyx cinctus,ANIMALIA,CHORDATA,GALLIFORMES,AVES,ODONTOPHORIDAE,Rhynchortyx,cinctus,,,,"(Salvin, 1876)",Least Concern,,3.1,Decreasing,Global
92827620,22679746,Dendrocygna bicolor,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Dendrocygna,bicolor,,,,"(Vieillot, 1816)",Least Concern,,3.1,Decreasing,Global
92829021,22679763,Dendrocygna viduata,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Dendrocygna,viduata,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Increasing,Global
92830407,22679789,Nomonyx dominicus,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Nomonyx,dominicus,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Decreasing,Global
92846924,22680163,Mareca americana,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Mareca,americana,,,,"(Gmelin, 1789)",Least Concern,,3.1,Stable,Global
92850997,22680229,Spatula discors,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Spatula,discors,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Decreasing,Global
92851668,22680233,Spatula cyanoptera,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Spatula,cyanoptera,,,,"(Vieillot, 1816)",Least Concern,,3.1,Decreasing,Global
92859350,22680370,Aythya collaris,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Aythya,collaris,,,,"(Donovan, 1809)",Least Concern,,3.1,Increasing,Global
92861095,22680402,Aythya affinis,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Aythya,affinis,,,,"(Eyton, 1838)",Least Concern,,3.1,Decreasing,Global
92880196,22680813,Melanerpes formicivorus,ANIMALIA,CHORDATA,PICIFORMES,AVES,PICIDAE,Melanerpes,formicivorus,,,,"(Swainson, 1827)",Least Concern,,3.1,Increasing,Global
92883427,22680868,Sphyrapicus varius,ANIMALIA,CHORDATA,PICIFORMES,AVES,PICIDAE,Sphyrapicus,varius,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Decreasing,Global
92897542,22681212,Veniliornis kirkii,ANIMALIA,CHORDATA,PICIFORMES,AVES,PICIDAE,Veniliornis,kirkii,,,,"(Malherbe, 1845)",Least Concern,,3.1,Stable,Global
92927021,22681953,Semnornis frantzii,ANIMALIA,CHORDATA,PICIFORMES,AVES,SEMNORNITHIDAE,Semnornis,frantzii,,,,"(Sclater, 1864)",Least Concern,,3.1,Stable,Global
92928754,22682028,Pteroglossus frantzii,ANIMALIA,CHORDATA,PICIFORMES,AVES,RAMPHASTIDAE,Pteroglossus,frantzii,,,,"Cabanis, 1861",Least Concern,,3.1,Decreasing,Global
92930451,22682071,Selenidera spectabilis,ANIMALIA,CHORDATA,PICIFORMES,AVES,RAMPHASTIDAE,Selenidera,spectabilis,,,,"Cassin, 1857",Least Concern,,3.1,Decreasing,Global
92931404,22682102,Ramphastos sulfuratus,ANIMALIA,CHORDATA,PICIFORMES,AVES,RAMPHASTIDAE,Ramphastos,sulfuratus,,,,"Lesson, 1830",Least Concern,,3.1,Decreasing,Global
92958465,22682727,Pharomachrus mocinno,ANIMALIA,CHORDATA,TROGONIFORMES,AVES,TROGONIDAE,Pharomachrus,mocinno,,,,"de la Llave, 1832",Near Threatened,A2cd+3cd+4cd,3.1,Decreasing,Global
92960129,22682760,Trogon massena,ANIMALIA,CHORDATA,TROGONIFORMES,AVES,TROGONIDAE,Trogon,massena,,,,"Gould, 1838",Least Concern,,3.1,Stable,Global
92960342,22682768,Trogon clathratus,ANIMALIA,CHORDATA,TROGONIFORMES,AVES,TROGONIDAE,Trogon,clathratus,,,,"Salvin, 1856",Least Concern,,3.1,Decreasing,Global
92960681,22682776,Trogon bairdii,ANIMALIA,CHORDATA,TROGONIFORMES,AVES,TROGONIDAE,Trogon,bairdii,,,,"Lawrence, 1868",Near Threatened,B1b(i),3.1,Decreasing,Global
92961740,22682810,Trogon rufus,ANIMALIA,CHORDATA,TROGONIFORMES,AVES,TROGONIDAE,Trogon,rufus,,,,"Gmelin, 1788",Least Concern,,3.1,Decreasing,Global
