internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
55390,Isthmohyla angustilineata,"Hyla  angustilineata  Taylor, 1952",Hyla ,angustilineata ,"Taylor, 1952",,
55432,Isthmohyla calypsa,"Hyla  calypsa  Lips, 1996",Hyla ,calypsa ,"Lips, 1996",,
55462,Isthmohyla debilis,"Hyla  debilis  Taylor, 1952",Hyla ,debilis ,"Taylor, 1952",,
55529,Isthmohyla lancasteri,"Hyla moraviaensis Taylor, 1952",Hyla,moraviaensis,"Taylor, 1952",,
55529,Isthmohyla lancasteri,"Hyla  lancasteri  Barbour, 1928",Hyla ,lancasteri ,"Barbour, 1928",,
55675,Isthmohyla tica,"Hyla tica Starrett, 1966",Hyla,tica,"Starrett, 1966",,
56498,Craugastor catalinae,"Eleutherodactylus  catalinae Campbell & Savage, 2000",Eleutherodactylus ,catalinae,"Campbell & Savage, 2000",,
56577,Craugastor emcelae,"Eleutherodactylus emcelae Lynch, 1985",Eleutherodactylus,emcelae,"Lynch, 1985",,
56828,Pristimantis pardalis,"Eleutherodactylus pardalis (Taylor, 1952)",Eleutherodactylus,pardalis,"(Taylor, 1952)",,
56828,Pristimantis pardalis,"Syrrhopus  pardalis  Barbour, 1928",Syrrhopus ,pardalis ,"Barbour, 1928",,
56913,Craugastor rhyacobatrachus,"Eleutherodactylus rhyacobatrachus Campbell & Savage, 2000",Eleutherodactylus,rhyacobatrachus,"Campbell & Savage, 2000",,
58746,Lithobates vibicarius,"Rana vibicaria (Cope, 1894)",Rana,vibicaria,"(Cope, 1894)",,
58746,Lithobates vibicarius,"Rana godmani Günther, 1900",Rana,godmani,"Günther, 1900",,
58746,Lithobates vibicarius,"Lithobates vibicaria (Cope, 1894) [orth. error]",Lithobates,vibicaria,"(Cope, 1894) [orth. error]",,
58746,Lithobates vibicarius,"Levirana vibicaria Cope, 1894",Levirana,vibicaria,"Cope, 1894",,
59177,Bolitoglossa marmorea,"Magnadigita  marmorea  Tanner & Brame, 1961",Magnadigita ,marmorea ,"Tanner & Brame, 1961",,
59200,Bolitoglossa robusta,"Magnadigita  robusta (Cope, 1894)",Magnadigita ,robusta,"(Cope, 1894)",,
59200,Bolitoglossa robusta,"Oedipus  robustus  Cope, 1894",Oedipus ,robustus ,"Cope, 1894",,
59305,Oedipina alfaroi,"Oedipus  alfaroi (Dunn, 1921)",Oedipus ,alfaroi,"(Dunn, 1921)",,
3172,Incilius periglenes,"Bufo periglenes Savage, 1967",Bufo,periglenes,"Savage, 1967",,
54664,Incilius holdridgei,"Bufo holdridgei Taylor, 1952",Bufo,holdridgei,"Taylor, 1952",,
55037,Hyalinobatrachium vireovittatum,"Centrolenella vireovittata Starrett & Savage, 1973",Centrolenella,vireovittata,"Starrett & Savage, 1973",,
55310,Duellmanohyla rufioculis,"Hyla  rufioculis  Taylor, 1952",Hyla ,rufioculis ,"Taylor, 1952",,
55603,Isthmohyla pictipes,"Hyla  punctariola  ssp. moesta  Cope, 1875",Hyla ,punctariola ,,subspecies,"Cope, 1875"
55603,Isthmohyla pictipes,"Hyla  punctariola  ssp. monticola  Cope, 1875",Hyla ,punctariola ,,subspecies,"Cope, 1875"
55603,Isthmohyla pictipes,"Hyla  moesta (Cope, 1875)",Hyla ,moesta,"(Cope, 1875)",,
55603,Isthmohyla pictipes,"Hyla  monticola (Cope, 1875)",Hyla ,monticola,"(Cope, 1875)",,
55603,Isthmohyla pictipes,"Hyla  pictipes (Cope, 1875)",Hyla ,pictipes,"(Cope, 1875)",,
55603,Isthmohyla pictipes,"Hyla  punctariola  ssp. pictipes  Cope, 1875",Hyla ,punctariola ,,subspecies,"Cope, 1875"
55697,Isthmohyla xanthosticta,"Hyla  xanthosticta  Duellman, 1968",Hyla ,xanthosticta ,"Duellman, 1968",,
56414,Craugastor andi,"Eleutherodactylus andi Savage, 1974",Eleutherodactylus,andi,"Savage, 1974",,
56418,Craugastor angelicus,"Eleutherodactylus angelicus Savage, 1975",Eleutherodactylus,angelicus,"Savage, 1975",,
56540,Craugastor cuaquero,"Eleutherodactylus cuaquero Savage, 1980",Eleutherodactylus,cuaquero,"Savage, 1980",,
56588,Craugastor escoces,"Eleutherodactylus escoces Savage, 1975",Eleutherodactylus,escoces,"Savage, 1975",,
56603,Craugastor fleischmanni,"Lithodytes euryglossus Cope, 1894",Lithodytes,euryglossus,"Cope, 1894",,
56603,Craugastor fleischmanni,"Liohyla fleischmanni (Boettger, 1892)",Liohyla,fleischmanni,"(Boettger, 1892)",,
56603,Craugastor fleischmanni,"Liohyla engytympanum Günther, 1900",Liohyla,engytympanum,"Günther, 1900",,
56603,Craugastor fleischmanni,"Hylodes euryglossus (Cope, 1894)",Hylodes,euryglossus,"(Cope, 1894)",,
56603,Craugastor fleischmanni,"Eleutherodactylus fleischmanni (Boettger, 1892)",Eleutherodactylus,fleischmanni,"(Boettger, 1892)",,
56603,Craugastor fleischmanni,"Eleutherodactylus engytympanum (Günther, 1900)",Eleutherodactylus,engytympanum,"(Günther, 1900)",,
56603,Craugastor fleischmanni,"Eleutherodactylus euryglossus (Cope, 1984)",Eleutherodactylus,euryglossus,"(Cope, 1984)",,
56603,Craugastor fleischmanni,"Hylodes fleischmanni Boettger, 1892",Hylodes,fleischmanni,"Boettger, 1892",,
56847,Craugastor persimilis,"Microbatrachyls persimilis (Barbour, 1926)",Microbatrachyls,persimilis,"(Barbour, 1926)",,
56847,Craugastor persimilis,"Eleutherodactylus persimilis Barbour, 1926",Eleutherodactylus,persimilis,"Barbour, 1926",,
56853,Craugastor phasma,"Eleutherodactylus phasma Lips & Savage, 1996",Eleutherodactylus,phasma,"Lips & Savage, 1996",,
56902,Craugastor rayo,"Eleutherodactylus  rayo Savage & DeWeese, 1979",Eleutherodactylus ,rayo,"Savage & DeWeese, 1979",,
57007,Diasporus tigrillo,"Pristimantis  tigrillo (Savage, 1997)",Pristimantis ,tigrillo,"(Savage, 1997)",,
57007,Diasporus tigrillo,"Eleutherodactylus tigrillo Savage, 1997",Eleutherodactylus,tigrillo,"Savage, 1997",,
59138,Bolitoglossa alvaradoi,"Bolitoglossa arborescandens Taylor, 1954",Bolitoglossa,arborescandens,"Taylor, 1954",,
59145,Bolitoglossa cerroensis,"Magnadigita  cerroensis  Taylor, 1952",Magnadigita ,cerroensis ,"Taylor, 1952",,
59186,Bolitoglossa nigrescens,"Magnadigita  nigrescens  Taylor, 1949",Magnadigita ,nigrescens ,"Taylor, 1949",,
59194,Bolitoglossa pesrubra,"Magnadigita  torresi  Taylor, 1952",Magnadigita ,torresi ,"Taylor, 1952",,
59194,Bolitoglossa pesrubra,"Magnadigita  pesrubra  Taylor, 1952",Magnadigita ,pesrubra ,"Taylor, 1952",,
59212,Bolitoglossa subpalmata,"Oedipus   subpalmatus (Boulenger, 1896)",Oedipus  ,subpalmatus,"(Boulenger, 1896)",,
59212,Bolitoglossa subpalmata,"Magnadigita  subpalmata (Boulenger, 1896)",Magnadigita ,subpalmata,"(Boulenger, 1896)",,
59212,Bolitoglossa subpalmata,"Spelerpes  subpalmatus  Boulenger, 1896",Spelerpes ,subpalmatus ,"Boulenger, 1896",,
59292,Nototriton abscondens,"Chiropterotriton  abscondens  Taylor, 1948",Chiropterotriton ,abscondens ,"Taylor, 1948",,
59299,Nototriton picadoi,"Oedipus  picadoi  (Stejneger, 1911)",Oedipus ,picadoi ,"(Stejneger, 1911)",,
59299,Nototriton picadoi,"Chiropterotriton  picadoi  (Stejneger, 1911)",Chiropterotriton ,picadoi ,"(Stejneger, 1911)",,
59299,Nototriton picadoi,"Spelerpes  picadoi  Stejneger, 1911",Spelerpes ,picadoi ,"Stejneger, 1911",,
59300,Nototriton richardi,"Chiropterotriton  richardi (Taylor, 1949)",Chiropterotriton ,richardi,"(Taylor, 1949)",,
59300,Nototriton richardi,"Parvimolge  richardi  Taylor, 1949",Parvimolge ,richardi ,"Taylor, 1949",,
59542,Dermophis costaricense,"Dermophis costaricensis Taylor, 1955 [orth. error]",Dermophis,costaricensis,"Taylor, 1955 [orth. error]",,
135768,Incilius guanacaste,"Crepidophryne guanacaste Vaughan & Mendelson, 2007",Crepidophryne,guanacaste,"Vaughan & Mendelson, 2007",,
136078,Incilius chompipe,"Crepidophryne  chompipe Vaughan & Mendelson, 2007",Crepidophryne ,chompipe,"Vaughan & Mendelson, 2007",,
39375,Carcharhinus melanopterus,"Carcharias melanopterus Quoy & Gaimard, 1824",Carcharias,melanopterus,"Quoy & Gaimard, 1824",,
39375,Carcharhinus melanopterus,"Squalus  carcharias minor Forsskål, 1775",Squalus ,carcharias minor,"Forsskål, 1775	",,
